# phaser evaluate classical_scalar_potential
# model_fingerprint 3c040a24cb2308feecbff00e7c6d734146eedd6548b48294713cd99ff3123d68
# request_fingerprint b9e395708a29a3ae8070435c24e74fb7d5378cc38ef00a7302a392eae86da836
# scheme msbar reference_scale 125
# loop_orders 0 through 0 contributions 5
h	s	value	dV/dh	dV/ds	status
0	0	0	0	0	ok
50	0	-9177083.333333334	-353958.3333333333	18333.333333333332	ok
100	0	-33812500	-612916.6666666666	21666.666666666664	ok
150	0	-68343750	-744375	7500	ok
200	0	-105583333.33333334	-715833.3333333333	-26666.666666666657	ok
250	0	-136718750	-494791.6666666666	-83333.33333333333	ok
300	0	-151312500	-48750	-165000	ok
350	0	-137302083.33333337	654791.6666666667	-274166.6666666666	ok
400	0	-81000000	1648333.3333333335	-413333.3333333333	ok
450	0	32906250	2964375	-585000	ok
500	0	221354166.6666665	4635416.666666667	-791666.6666666666	ok
550	0	502906250	6693958.333333333	-1035833.3333333333	ok
600	0	897750000	9172500	-1320000	ok
