# phaser evaluate classical_scalar_potential
# model_fingerprint 7da4db3f31600b5a61b31b4e1408d41cdb9b3f42936cf4f0a5f894ba444e0eb5
# request_fingerprint b9e395708a29a3ae8070435c24e74fb7d5378cc38ef00a7302a392eae86da836
# scheme msbar reference_scale 125
# loop_orders 0 through 0 contributions 3
phi	value	dV/dphi	d2V/dphidphi	status
0	0	0	-7812.5	ok
50	-9697916.666666666	-385208.3333333333	-7487.5	ok
100	-37979166.666666664	-737916.6666666666	-6512.5	ok
150	-82406250	-1025625	-4887.5	ok
200	-138916666.66666666	-1215833.3333333333	-2612.5	ok
250	-201822916.66666666	-1276041.6666666665	312.5	ok
300	-263812500	-1173750	3887.5	ok
350	-315947916.6666666	-876458.3333333333	8112.5	ok
400	-347666666.6666667	-351666.6666666665	12987.5	ok
450	-346781250	433125	18512.5	ok
500	-299479166.6666666	1510416.666666667	24687.5	ok
550	-190322916.66666663	2912708.333333334	31512.5	ok
600	-2250000	4672500	38987.5	ok
