# phaser evaluate effective_potential
# model_fingerprint 7da4db3f31600b5a61b31b4e1408d41cdb9b3f42936cf4f0a5f894ba444e0eb5
# request_fingerprint d337f278e419f1dba5a6e08c31645fca887e3d2589d3afda6339fc70da90bc5f
# scheme msbar reference_scale 125
# loop_orders 0 through 1 contributions 4
# selection loop:1
# result_type complex64
# contribution scalar_one_loop formula scalar-vacuum-msbar/1 branch arg(-pi,pi] precision binary64 resummation none
phi	value.re	value.im	dV/dphi.re	dV/dphi.im	status
0	-211918.13300723032	303563.96311167785	0	0	ok
50	-198424.4956692887	278832.7770327888	534.9207216855402	-968.2340170754601	ok
100	-159480.12740884046	210943.24662015217	1005.3264159484539	-1684.3069211896986	ok
150	-100677.65154346067	118807.45534585963	1304.955683769167	-1896.057599381494	ok
200	-35533.60362341804	33945.54233006387	1199.4734115322233	-1351.3249386896239	ok
250	-836.7196301415131	0	-315.91776390863527	0	ok
300	-69171.16454729372	0	-2295.6945086023243	0	ok
350	-224579.90815074046	0	-3869.605341331397	0	ok
400	-449926.5528493818	0	-5067.401536779498	0	ok
450	-721840.3458864237	0	-5695.110515092256	0	ok
500	-1005962.6980612122	0	-5513.541439862606	0	ok
550	-1255319.684721941	0	-4258.884943663032	0	ok
600	-1409273.2167142332	0	-1649.042523147892	0	ok
